iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	Accuracy_SumError	Accuracy_SumWeight
56	8485	6831	3268	899	0	0	1441	0	0	67419	72596	66272	13271	12088	10055	79595	91515
57	8485	6934	3350	899	0	0	1441	0	0	67419	72488	66262	13271	12093	10064	79676	91515
58	8485	7015	3396	899	0	0	1441	0	0	67419	72506	66277	13271	11994	10036	79709	91515
59	8485	7066	3427	899	0	0	1441	0	0	67419	72425	66257	13271	12024	10041	79725	91515
60	8485	7080	3440	899	0	0	1441	0	0	67419	72464	66272	13271	11971	10032	79744	91515
61	8485	7040	3403	899	0	0	1441	0	0	67419	72502	66277	13271	11973	10026	79706	91515
62	8485	6910	3339	899	0	0	1441	0	0	67419	72600	66303	13271	12005	10033	79675	91515
63	8485	7284	3597	899	0	0	1441	0	0	67419	72426	66279	13271	11805	10010	79886	91515
64	8485	7120	3521	899	0	0	1441	0	0	67419	72768	66353	13271	11627	9959	79833	91515
65	8485	7245	3584	899	0	0	1441	0	0	67419	72610	66321	13271	11660	9959	79864	91515
66	8485	7345	3663	899	0	0	1441	0	0	67419	72726	66418	13271	11444	9918	79999	91515
67	8485	7594	3767	899	0	0	1441	0	0	67419	72637	66407	13271	11284	9838	80012	91515
68	8485	7604	3770	899	0	0	1441	0	0	67419	72628	66407	13271	11283	9841	80018	91515
69	8485	7675	3762	899	0	0	1441	0	0	67419	72544	66407	13271	11296	9841	80010	91515
70	8485	7667	3758	899	0	0	1441	0	0	67419	72543	66407	13271	11305	9846	80011	91515
71	8485	7518	3730	899	0	0	1441	0	0	67419	72664	66409	13271	11333	9862	80001	91515
72	8485	7365	3671	899	0	0	1441	0	0	67419	72728	66418	13271	11422	9899	79988	91515
73	8485	7369	3660	899	0	0	1441	0	0	67419	72733	66416	13271	11413	9887	79963	91515
74	8485	7539	3723	899	0	0	1441	0	0	67419	72642	66407	13271	11334	9849	79979	91515
75	8485	7039	3535	899	0	0	1441	0	0	67419	72969	66393	13271	11507	9839	79767	91515
76	8485	7054	3548	899	0	0	1441	0	0	67419	72973	66406	13271	11488	9829	79783	91515
77	8485	7080	3542	899	0	0	1441	0	0	67419	72964	66405	13271	11471	9808	79755	91515
78	8485	7170	3541	899	0	0	1441	0	0	67419	72883	66404	13271	11462	9809	79754	91515
79	8485	6721	3363	899	0	0	1441	0	0	67419	73414	66533	13271	11380	9795	79691	91515
80	8485	6737	3368	899	0	0	1441	0	0	67419	73328	66506	13271	11450	9827	79701	91515
81	8485	6757	3357	899	0	0	1441	0	0	67419	73392	66530	13271	11366	9784	79671	91515
82	8485	6796	3383	899	0	0	1441	0	0	67419	73359	66525	13271	11360	9782	79690	91515
83	8485	6711	3316	899	0	0	1441	0	0	67419	73674	66591	13271	11130	9682	79589	91515
84	8485	6668	3311	899	0	0	1441	0	0	67419	73676	66587	13271	11171	9714	79612	91515
85	8485	6630	3292	899	0	0	1441	0	0	67419	73679	66592	13271	11206	9732	79616	91515
86	8485	6463	3150	899	0	0	1441	0	0	67419	73697	66647	13271	11355	9776	79573	91515
87	8485	6517	3193	899	0	0	1441	0	0	67419	73644	66628	13271	11354	9776	79597	91515
88	8485	6493	3150	899	0	0	1441	0	0	67419	73690	66637	13271	11332	9755	79542	91515
89	8485	6640	3227	899	0	0	1441	0	0	67419	73583	66602	13271	11292	9745	79574	91515
90	8485	6640	3211	899	0	0	1441	0	0	67419	73598	66603	13271	11277	9726	79540	91515
91	8485	6578	3177	899	0	0	1441	0	0	67419	73618	66607	13271	11319	9736	79520	91515
92	8485	6485	3148	899	0	0	1441	0	0	67419	73711	66613	13271	11319	9738	79499	91515
93	8485	6490	3145	899	0	0	1441	0	0	67419	73709	66624	13271	11316	9730	79499	91515
94	8485	6666	3215	899	0	0	1441	0	0	67419	73550	66589	13271	11299	9721	79525	91515
95	8485	6501	3145	899	0	0	1441	0	0	67419	73722	66635	13271	11292	9720	79500	91515
96	8485	6636	3210	899	0	0	1441	0	0	67419	73632	66618	13271	11247	9707	79535	91515
97	8485	6724	3250	899	0	0	1441	0	0	67419	73541	66596	13271	11250	9699	79545	91515
98	8485	6845	3252	899	0	0	1441	0	0	67419	73416	66553	13271	11254	9653	79458	91515
